Sampling date,Reactive_phosphorus,Total_dissolved_phosphorus,Total_phosphorus
2009-06-08,576,668,768
2009-06-15,634,670,774
2009-06-22,858,914,1126
2009-06-29,765,828,902
2009-07-06,894,924,1030
2009-07-13,885,928,1004
2009-07-20,672,682,810
2009-07-27,788,846,956
2009-08-04,708,749,862
2009-08-10,860,940,1008
2009-08-17,828,896,976
2009-08-24,922,912,962
2009-09-02,610,664,760
2009-09-07,806,866,918
2009-09-15,972,1020,1074
2009-09-22,916,960,992
2009-09-29,935,1156,1036
2009-10-05,764,828,890
2009-10-13,720,1008,1072
2009-10-20,932,1012,1102
2009-10-27,744,828,886
2009-11-03,792,840,946
2009-11-10,850,954,960
2009-11-17,444,494,554
2009-11-24,463,524,722
2009-12-01,394,443,566
2009-12-08,313,359,464
2009-12-16,389,426,478
2010-01-12,467,494,552
2010-01-19,236,264,317
2010-01-26,222,259,302
2010-02-02,270,297,346
2010-02-09,285,296,345
2010-02-16,352,390,431
2010-02-23,230,262,347
2010-03-02,166,226,322
2010-03-09,305,312,357
2010-03-16,389,425,468
2010-03-23,387,427,457
2010-04-06,327,345,392
2010-04-13,524,547,581
2010-04-21,482,541,576
2010-04-27,678,728,784
2010-05-04,658,712,780
2010-05-11,834,866,936
2010-05-18,882,904,966
2010-05-26,995,1076,1150
2010-06-02,804,836,906
2010-06-08,754,788,948
2010-06-15,760,782,878
2010-06-22,690,700,784
2010-06-29,730,830,908
2010-07-06,740,808,884
2010-07-13,832,812,948
2010-07-19,700,764,804
2010-07-27,602,626,662
2010-08-03,762,814,860
2010-08-10,625,826,924
2010-08-17,626,654,732
2010-08-31,500,554,624
2010-09-06,586,630,698
2010-09-14,612,652,732
2010-09-21,702,754,780
2010-09-28,732,789,855
2010-10-05,698,738,850
2010-10-12,686,694,742
2010-10-19,620,680,718
2010-10-26,712,780,806
2010-11-02,598,658,678
2010-11-09,489,522,594
2010-11-16,480,510,542
2010-11-23,512,520,594
2010-11-30,566,608,680
2010-12-07,476,518,580
2010-12-14,690,710,818
2010-12-21,423,448,476
2011-01-04,402,428,482
2011-01-11,297,336,436
2011-01-18,236,268,414
2011-01-25,250,266,318
2011-02-01,295,300,372
2011-02-08,387,407,477
2011-02-14,365,403,482
2011-02-22,250,286,399
2011-03-01,214,245,315
2011-03-08,333,373,472
2011-03-15,462,458,513
2011-03-22,428,480,586
2011-03-29,389,434,526
2011-04-05,540,599,700
2011-04-11,519,576,665
2011-04-19,520,570,648
2011-04-26,531,633,694
2011-05-03,688,744,820
2011-05-09,848,948,1022
2011-05-16,978,1148,1296
2011-05-24,872,972,1066
2011-05-31,705,738,828
2011-06-07,1008,1056,1118
2011-06-14,704,738,818
2011-06-21,632,670,742
2011-06-28,678,716,810
2011-07-05,782,832,936
2011-07-12,852,984,1052
2011-07-19,768,842,930
2011-07-26,708,800,872
2011-08-02,780,848,912
2011-08-09,1228,1354,1440
2011-08-16,873,940,996
2011-08-23,748,866,948
2011-08-30,765,854,908
2011-09-06,846,930,1004
2011-09-13,900,992,1080
2011-09-20,873,930,1002
2011-09-26,920,1066,1134
2011-10-04,1560,1680,1756
2011-10-11,1692,1760,1860
2011-10-18,1400,1572,1644
2011-10-25,1095,1300,1332
2011-11-01,1080,1152,1244
2011-11-08,1108,1208,1280
2011-11-15,1208,1252,1364
2011-11-22,848,1168,1252
2011-11-29,1024,1160,1216
2011-12-06,1132,1212,1240
2011-12-13,836,896,944
2011-12-19,676,696,736
2012-01-03,772,850,922
2012-01-10,544,552,604
2012-01-16,746,780,826
2012-01-24,836,870,1024
2012-01-31,441,506,576
2012-02-07,474,550,612
2012-02-27,484,522,590
2012-03-06,383,390,580
2012-03-13,419,464,516
2012-03-20,504,526,608
2012-03-27,508,556,610
2012-04-03,588,670,810
2012-04-10,586,614,710
2012-04-17,608,596,650
2012-04-24,422,496,516
2012-05-01,308,362,534
2012-05-08,286,328,374
2012-05-14,254,296,354
2012-05-22,381,482,499
2012-05-29,520,596,679
2012-06-06,385,468,596
2012-06-12,276,350,494
2012-06-19,221,260,308
2012-06-25,301,360,427
2012-07-03,445,501,567
2012-07-10,344,404,480
2012-07-16,252,337,412
2012-07-24,353,460,540
2012-07-31,488,551,630
2012-08-07,414,456,482
2012-08-14,465,517,584
2012-08-21,478,502,586
2012-08-28,545,634,681
2012-09-04,485,540,604
2012-09-11,550,581,664
2012-09-18,540,590,668
2012-09-24,505,584,674
2012-10-01,433,468,556
2012-10-08,308,368,396
2012-10-16,351,378,432
2012-10-23,238,244,342
2012-10-29,288,325,369
2012-11-06,217,261,329
2012-11-12,224,255,305
2012-11-19,260,291,344
2012-11-26,185,232,323
2012-12-04,202,230,297
2012-12-11,228,256,307
2012-12-17,202,242,319
2013-01-07,219,225,277
2013-01-14,214,239,301
2013-01-21,204,223,264
2013-01-28,157,183,323
2013-02-04,168,184,228
2013-02-11,146,181,406
2013-02-18,138,155,195
2013-02-25,207,220,299
