Sampling date,Dissolved_fluoride,Dissolved_chloride,Dissolved_nitrite
2009-06-08,0.2,50,0.1
2009-06-15,0.2,47,0.1
2009-06-22,0.2,54,0.1
2009-06-29,0.2,60,0.05
2009-07-06,0.2,60,0.11
2009-07-13,0.2,58,0.05
2009-07-20,0.2,44.5,0.11
2009-07-27,0.3,52,0.05
2009-08-04,0.2,54,0.05
2009-08-10,0.2,47,0.05
2009-08-17,0.2,59,0.05
2009-08-24,0.2,63,0.1
2009-09-02,0.2,58,0.05
2009-09-07,0.1,54,0.3
2009-09-15,0.1,68,0.1
2009-09-22,0.2,70,0.05
2009-09-29,0.2,72,0.1
2009-10-05,0.2,70,0.1
2009-10-13,0.09,60.14,0.09
2009-10-20,0.1,68.86,0.11
2009-10-27,0.1,70.68,0.06
2009-11-03,0.18,62.49,0.13
2009-11-10,0.16,57.24,0.11
2009-11-17,0.21,44.09,0.2
2009-11-24,0.24,45.73,0.9
2009-12-01,0.3,33.01,0.17
2009-12-08,0.43,29.31,0.12
2009-12-16,0.38,45.76,0.18
2010-01-12,0.24,62.42,0.19
2010-01-19,0.34,31.07,0.07
2010-01-26,0.34,33.7,0.02
2010-02-02,0.3,43.1,0.07
2010-02-09,0.29,39.08,0
2010-02-16,0.25,48.27,0.1
2010-02-23,0.28,36.61,0.02
2010-03-02,0.28,20.25,0.03
2010-03-09,0.27,38.35,0
2010-03-16,0.26,42.14,0
2010-03-23,0.24,44.51,0
2010-04-06,0.26,36.35,0.02
2010-04-13,0.19,44.66,0.04
2010-04-21,0.17,46.83,0.44
2010-04-27,0.18,48.77,0.11
2010-05-04,0.16,41.57,0.16
2010-05-11,0.17,48.8,0.19
2010-05-18,0.17,51.9,0.1
2010-05-26,0.16,54.56,0.26
2010-06-02,0.18,56.47,0.15
2010-06-08,0.18,61.47,0.14
2010-06-15,0.16,56.08,0.17
2010-06-22,0.14,61.14,0.14
2010-06-29,0.14,66.6,0.29
2010-07-06,0.15,70.24,0.01
2010-07-13,0.14,71.54,0.12
2010-07-19,0.15,72.13,0.11
2010-07-27,0.16,73.08,0.06
2010-08-03,0.24,73.03,0.08
2010-08-10,0.23,71.94,0.09
2010-08-17,0.24,57.92,0.14
2010-08-31,0.2,39.89,0.34
2010-09-06,0.19,55.78,0.06
2010-09-14,0.09,58.07,0
2010-09-21,0.1,64.95,0.2
2010-09-28,0.1,63.13,0
2010-10-05,0.31,46.45,0.07
2010-10-12,0.34,56.31,0
2010-10-19,0.13,62.45,0
2010-10-26,0.12,60.79,0
2010-11-02,0.11,58.59,0
2010-11-09,0.13,50.01,0
2010-11-16,0.15,47.99,0
2010-11-23,0.13,56.23,0
2010-11-30,0.22,57.66,0.16
2010-12-07,0.19,74.9,0.21
2010-12-14,0.21,64.74,0.23
2010-12-21,0.24,84.79,0.25
2011-01-04,0.31,52.03,0.16
2011-01-11,0.32,42.8,0.1
2011-01-18,0.28,31.71,0.11
2011-01-25,0.28,43.07,0.15
2011-02-01,0.26,44.77,0.1
2011-02-08,0.26,49.37,0.19
2011-02-14,0.25,52.85,0.1
2011-02-22,0.28,37.78,0.14
2011-03-01,0.34,32.04,0.08
2011-03-08,0.29,44.49,0.12
2011-03-15,0.28,48.89,0.11
2011-03-22,0.21,51.21,0.1
2011-03-29,0.21,51.36,0.06
2011-04-05,0.2,55.38,0.04
2011-04-11,0.19,55.86,0.16
2011-04-19,0.21,56.71,0.11
2011-04-26,0.21,61.55,0.29
2011-05-03,0.18,63.82,0.25
2011-05-09,0.19,69.32,0.22
2011-05-16,0.19,61.51,0.28
2011-05-24,0.18,69.93,0.93
2011-05-31,0.18,58.9,0.21
2011-06-07,0.18,67.06,0.2
2011-06-14,0.17,69,0.12
2011-06-21,0.18,65.19,0.08
2011-06-28,0.18,61.69,0.14
2011-07-05,0.19,66.48,0.16
2011-07-12,0.21,74.38,0.11
2011-07-19,0.2,67.01,0.15
2011-07-26,0.17,64.9,0.15
2011-08-02,0.17,73.16,0.13
2011-08-09,0.16,68.06,0.21
2011-08-16,0.16,70.36,0.13
2011-08-23,0.18,68.69,0.15
2011-08-30,0.19,69.27,0.09
2011-09-06,0.17,69.2,0.11
2011-09-13,0.17,66.1,0.03
2011-09-20,0.17,72.08,0.08
2011-09-26,0.17,71.23,0.08
2011-10-04,0.18,75.98,0.14
2011-10-11,0.17,81.47,0.18
2011-10-18,0.13,77.19,0.06
2011-10-25,0.15,74.18,0
2011-11-01,0.14,62.62,0.84
2011-11-08,0.16,67.28,0.87
2011-11-15,0.15,72.01,0.13
2011-11-22,0.19,76.74,0.55
2011-11-29,0.18,77.54,0.16
2011-12-06,0.19,79.44,0.1
2011-12-13,0.18,92.95,0.11
2011-12-19,0.24,82.97,0.14
2012-01-03,0.24,75.18,0.07
2012-01-10,0.27,60.84,0
2012-01-16,0.25,67.66,0
2012-01-24,0.21,91.8,0.06
2012-01-31,0.29,66.43,0.1
2012-02-07,0.24,95.17,0.12
2012-02-27,0.24,81.23,0
2012-03-06,0.26,64.16,0
2012-03-13,0.29,67.87,0
2012-03-20,0.24,67.93,0.02
