Sampling date,Dissolved_bromide,Dissolved_nitrate,Dissolved_sulphate
2009-06-08,0.073,43,70
2009-06-15,0.077,48,60
2009-06-22,0.079,35,68
2009-06-29,0.088,35.5,67.5
2009-07-06,0.084,36.5,66
2009-07-13,0.089,31,54.5
2009-07-20,0.066,25,53.5
2009-07-27,0.079,32.5,69
2009-08-04,0.085,36,64.5
2009-08-10,0.093,33.5,59.5
2009-08-17,0.101,39,69
2009-08-24,0.09,36.5,66.5
2009-09-02,0.06,34.5,60
2009-09-07,0.084,35,58
2009-09-15,0.083,42,66.5
2009-09-22,0.102,50,65
2009-09-29,0.098,45.5,63
2009-10-05,0.091,52,67
2009-10-13,0.072,42.24,56.45
2009-10-20,0.087,56.72,64.78
2009-10-27,0.078,46.79,65.26
2009-11-03,0.077,43.28,63.96
2009-11-10,0.084,44.43,73.65
2009-11-17,0.06,65.48,86.82
2009-11-24,0.058,50.51,78.06
2009-12-01,0.051,53.27,73
2009-12-08,0.03,36.88,62.11
2009-12-16,0.061,35.56,89.15
2010-01-12,0.081,35.1,84.33
2010-01-19,0.035,31.3,54
2010-01-26,0.048,30.32,66.22
2010-02-02,0.077,30.48,76.21
2010-02-09,0.072,31.56,78.67
2010-02-16,0.077,32.2,83.51
2010-02-23,0.061,25.19,60.95
2010-03-02,0.028,17.29,40.07
2010-03-09,0.068,32.79,72.47
2010-03-16,0.071,33.99,74.7
2010-03-23,0.07,27.88,79.27
2010-04-06,0.077,26.92,77.53
2010-04-13,0.083,33.39,75.98
2010-04-21,0.091,32.57,72.83
2010-04-27,0.1,31.94,69.6
2010-05-04,0.064,31.11,62.81
2010-05-11,0.067,40.9,72.47
2010-05-18,0.066,39.04,65.76
2010-05-26,0.089,33.85,66.13
2010-06-02,0.099,36.74,72.28
2010-06-08,0.098,40.12,74.9
2010-06-15,0.082,36.11,70.29
2010-06-22,0.09,41.45,75.16
2010-06-29,0.105,42.47,83.3
2010-07-06,0.096,44.2,74.04
2010-07-13,0.084,43.87,68.88
2010-07-19,0.095,41.21,64.07
2010-07-27,0.153,50.64,77.72
2010-08-03,0.087,48.61,81.49
2010-08-10,0.099,43.13,69.47
2010-08-17,0.089,32.12,61.15
2010-08-31,0.047,22.89,85.14
2010-09-06,0.081,36.05,81.57
2010-09-14,0.082,33.45,75.56
2010-09-21,0.072,39.18,68.69
2010-09-28,0.059,38.06,62.33
2010-10-05,0.065,28.87,73.42
2010-10-12,0.065,37.94,81.93
2010-10-19,0.075,36.52,71.74
2010-10-26,0.075,43.32,71.93
2010-11-02,0.07,33.54,84.92
2010-11-09,0.057,32.99,77.65
2010-11-16,0.07,41.89,86.25
2010-11-23,0.088,44.77,88.54
2010-11-30,0.07,40.29,83.93
2010-12-07,0.088,45.38,85.39
2010-12-14,0.081,45.09,83.66
2010-12-21,0.093,42.7,93.65
2011-01-04,0.115,44.34,92.41
2011-01-11,0.057,46.43,74.78
2011-01-18,0.035,30.91,55.47
2011-01-25,0.058,37.08,80.04
2011-02-01,0.071,37.48,85.15
2011-02-08,0.068,40.43,88.39
2011-02-14,0.11,33.72,88.53
2011-02-22,0.05,38.45,77.05
2011-03-01,0.062,34.27,69.6
2011-03-08,0.073,38.29,85.86
2011-03-15,0.078,38.62,84.64
2011-03-22,0.066,38.72,79.21
2011-03-29,0.068,35.08,80
2011-04-05,0.009,38.49,73.68
2011-04-11,0.008,35.82,71.2
2011-04-19,0.079,33.55,69.69
2011-04-26,0.085,39.05,74.65
2011-05-03,0.085,41.67,69.12
2011-05-09,0.086,39.51,69.22
2011-05-16,0.081,37.66,65.54
2011-05-24,0.137,40.91,69.46
2011-05-31,0.062,33.84,57.69
2011-06-07,0.076,40.12,64.83
2011-06-14,0.078,34.15,62.45
2011-06-21,0.065,38.38,63.78
2011-06-28,0.09,37.56,58.24
2011-07-05,0.093,37.83,64.22
2011-07-12,0.109,38.31,69.01
2011-07-19,0.096,42.26,69.48
2011-07-26,0.084,35.22,74.43
2011-08-02,0.091,34.91,73.2
2011-08-09,0.102,30.24,56.83
2011-08-16,0.148,33.92,61.08
2011-08-23,0.09,32.55,56.5
2011-08-30,0.101,33.02,64.22
2011-09-06,0.078,32.88,63.35
2011-09-13,0.075,37.55,58.97
2011-09-20,0.087,35.12,59.08
2011-09-26,0.115,33.75,58.76
2011-10-04,0.109,40.66,62.06
2011-10-11,0.09,42.8,78.14
2011-10-18,0.089,45.27,67.67
2011-10-25,0.077,38.08,69.91
2011-11-01,0.076,38.56,60.92
