Sampling date,Total_dissolved_nitrogen,Dissolved_sodium,Dissolved_potassium
2009-06-08,9.8,38.4,10.4
2009-06-15,11.4,34.8,9.3
2009-06-22,8.3,40,9.7
2009-06-29,8.3,44.3,10.8
2009-07-06,8.5,48.5,11.3
2009-07-13,7.6,45.1,10.2
2009-07-20,6.3,32.8,8.9
2009-07-27,7.8,38.1,9.5
2009-08-04,8.5,40.2,10.3
2009-08-10,8.1,36.3,9.6
2009-08-17,9.1,44.5,10.7
2009-08-24,9,47.8,11.7
2009-09-02,8,45.6,10.8
2009-09-07,8.7,44.4,11.7
2009-09-15,10.2,56.2,13.1
2009-09-22,12.2,45.7,11.8
2009-09-29,10.8,58.3,13.7
2009-10-05,12.5,54,13.4
2009-10-13,10.2,46.7,12.7
2009-10-20,13.6,60.2,16.8
2009-10-27,11.3,59.5,16.8
2009-11-03,10.4,50.4,14.1
2009-11-10,10.9,44.2,12.6
2009-11-17,15.74,30.4,8.9
2009-11-24,11.98,29.2,8.7
2009-12-01,11.82,21,7.4
2009-12-08,8.79,18.5,6.2
2009-12-16,8.39,29.8,6.7
2010-01-12,8.82,38.7,6.8
2010-01-19,7.88,18.5,5.2
2010-01-26,7.45,20.9,5.4
2010-02-02,7.72,27,6
2010-02-09,7.8,25.2,6
2010-02-16,7.7,30.7,6.2
2010-02-23,6.18,24.6,5.2
2010-03-02,4.64,14.2,5.1
2010-03-09,7.46,23.4,5.7
2010-03-16,7.98,24.7,5.9
2010-03-23,6.6,32.2,7.5
2010-04-06,6.8,21.6,5.2
2010-04-13,8.02,29.8,7.4
2010-04-21,8.07,31.3,8.1
2010-04-27,8.2,31.6,8.3
2010-05-04,7.74,27.8,7.5
2010-05-11,9.63,31.7,7.7
2010-05-18,8.82,33.9,8.7
2010-05-26,7.98,35.1,8.9
2010-06-02,8.64,32.4,7.9
2010-06-08,9.56,39.9,9.7
2010-06-15,8.85,36.5,9
2010-06-22,10.3,40.7,9.2
2010-06-29,10.34,52.9,13.6
2010-07-06,10.98,49.3,11.7
2010-07-13,10.5,45.9,11.5
2010-07-19,10,51.1,12.9
2010-07-27,12.1,50.8,11.9
2010-08-03,11.42,52.3,12.3
2010-08-10,11.72,52.2,13.8
2010-08-17,8.43,42.9,11.4
2010-08-31,6.2,27.9,8.6
2010-09-06,8.69,40.2,10.3
2010-09-14,8.3,40.7,10.6
2010-09-21,9.27,43.8,11.2
2010-09-28,8.8,43.7,11.5
2010-10-05,6.65,35.8,10
2010-10-12,8.72,39.6,11
2010-10-19,8.72,42.6,10.4
2010-10-26,10.4,39.3,10.9
2010-11-02,8.38,38.4,10.5
2010-11-09,9.41,32.4,9.5
2010-11-16,10.76,33.5,8.6
2010-11-23,10.66,38.1,9.8
2010-11-30,11.86,38.5,10
2010-12-07,12.58,46.7,10.7
2010-12-14,11.06,42.6,10.8
2010-12-21,10.3,54.1,10.4
2011-01-04,10.18,32.7,6.9
2011-01-11,11.18,24.8,6.4
2011-01-18,8.78,18.9,5.6
2011-01-25,9.81,25.4,6.1
2011-02-01,9.13,30,7.2
2011-02-08,9.7,31.9,8
2011-02-14,8.87,37.8,8.1
2011-02-22,9.76,25.9,6.2
2011-03-01,9.83,22.2,5.5
2011-03-08,9.64,30.2,7.1
2011-03-15,10.1,33.2,7.9
2011-03-22,10.3,34.9,8.6
2011-03-29,9,36.1,8.6
2011-04-05,10.24,40.4,9.7
2011-04-11,8.31,40.6,9.8
2011-04-19,8.64,40,9.6
2011-04-26,10.3,44.2,11
2011-05-03,10.42,50.4,11.3
2011-05-09,10.1,54.7,11.9
2011-05-16,10.38,48.4,11.3
2011-05-24,11.18,54.7,12.3
2011-05-31,9.44,44.5,10.3
2011-06-07,9.34,52.4,11.6
2011-06-14,8.14,52,11.2
2011-06-21,9.61,49.5,10.6
2011-06-28,9.3,48.3,10.8
2011-07-05,9.25,52.3,11.3
2011-07-12,9.75,57.1,12.6
2011-07-19,10.11,53.7,13.6
2011-07-26,8.84,50.4,11.9
2011-08-02,8.65,58.1,12.6
2011-08-09,7.31,55.2,12.9
2011-08-16,8.45,55.8,12.7
2011-08-23,8.29,54.7,13.4
2011-08-30,7.79,53.6,13
2011-09-06,8.31,52.9,12.6
2011-09-13,10.31,50.8,12.3
2011-09-20,9.12,55.4,13.3
2011-09-26,7.89,55.3,13.6
2011-10-04,10.04,62.5,15.4
2011-10-11,12.04,63.4,16.3
2011-10-18,12.9,64.1,16
2011-10-25,9.86,62.1,15.3
2011-11-01,9.68,51,13.7
2011-11-08,8.81,50.9,14
2011-11-15,10.55,54.8,14.8
2011-11-22,10.27,56.3,14.4
2011-11-29,10.67,58.5,14.4
2011-12-06,14,61.2,15
2011-12-13,12.9,64.6,13.5
2011-12-19,9.54,53.6,10.1
2012-01-03,10.01,51.2,11.2
2012-01-10,9.96,46.7,11.1
2012-01-16,10.45,41.7,9.7
2012-01-24,11.58,61.3,11.5
2012-01-31,10.42,44.6,9.5
2012-02-07,11.86,67.1,10.8
2012-02-27,9.23,52.2,11.1
2012-03-06,9.21,41.2,9.4
2012-03-13,9.58,45.6,10.1
2012-03-20,10.27,48.2,10.8
2012-03-27,9.48,48.5,11.5
2012-04-03,8.98,52.7,12.4
2012-04-10,9.56,59.3,11.3
2012-04-17,7.56,50.4,11.1
2012-04-24,7.2,39.1,8.6
2012-05-01,4.9,17.4,6.2
2012-05-08,4.21,25.3,6.2
2012-05-14,3.93,24.9,6.4
2012-05-22,6.28,32.4,8
2012-05-29,5.56,37.4,9
2012-06-06,4.75,26.7,7.6
2012-06-12,4.48,20.6,7.4
2012-06-19,2.07,22.2,7
2012-06-25,3.4,21.7,7.4
2012-07-03,4.68,33.1,8.4
2012-07-10,3.39,27.1,7.9
2012-07-16,2.01,18.5,6.9
2012-07-24,4.64,28.4,7.9
2012-07-31,5.17,34,8.4
2012-08-07,4.82,33,8.5
2012-08-14,7.05,39,9.8
2012-08-21,5.56,37.1,9.8
2012-08-28,8.55,41.9,10.5
2012-09-04,6.12,34.9,9.4
2012-09-11,7.28,44.5,11
2012-09-18,8.09,44.6,10.9
