Sampling date,  Alkalinity,Suspended_solids,Reactive_phosphorus
2009-06-08,3787,30.7,576
2009-06-15,3807,22.7,634
2009-06-22,4570,24.7,858
2009-06-29,3587,34.2,765
2009-07-06,4034,20.6,894
2009-07-13,4004,26.01,885
2009-07-20,3884,30.77,672
2009-07-27,4268,22.8,788
2009-08-04,4300,21,708
2009-08-10,3867,23.9,860
2009-08-17,4640,17.1,828
2009-08-24,4804,15.57,922
2009-09-02,3664,19.56,610
2009-09-07,3933,13.49,806
2009-09-15,4452,10.98,972
2009-09-22,4573,12.94,916
2009-09-29,4820,12.84,935
2009-10-05,4387,13.74,764
2009-10-13,4090,11.34,720
2009-10-20,4701,8.43,932
2009-10-27,4776,8.85,744
2009-11-03,3905,14.89,792
2009-11-10,4341,8.84,850
2009-11-17,3818,16.63,444
2009-11-24,3671,47,463
2009-12-01,3395,36.61,394
2009-12-08,3173,38.04,313
2009-12-16,4380,10.26,389
2010-01-12,5336,9.18,467
2010-01-19,3309,14.96,236
2010-01-26,3913,13.37,222
2010-02-02,4688,9.41,270
2010-02-09,4906,10.27,285
2010-02-16,5084,7.13,352
2010-02-23,3853,33.2,230
2010-03-02,3393,35.99,166
2010-03-09,4725,5.81,305
2010-03-16,5080,5.68,389
2010-03-23,4777,5.79,387
2010-04-06,5337,7.89,327
2010-04-13,4783,4.63,524
2010-04-21,5200,5.68,482
2010-04-27,4906,8.09,678
2010-05-04,4094,7.77,658
2010-05-11,4901,5.63,834
2010-05-18,4655,6.94,882
2010-05-26,4920,20.97,995
2010-06-02,4433,10.72,804
2010-06-08,4568,22.38,754
2010-06-15,4375,16.23,760
2010-06-22,4586,16.57,690
2010-06-29,4345,14.23,730
2010-07-06,4614,11.78,740
2010-07-13,4608,16.67,832
2010-07-19,4852,9.43,700
2010-07-27,4379,11.8,602
2010-08-03,4327,10.46,762
2010-08-10,4331,15.28,625
2010-08-17,4069,13.32,626
2010-08-31,3420,12.94,500
2010-09-06,4354,10.02,586
2010-09-14,4325,13.79,612
2010-09-21,4722,12.45,702
2010-09-28,4097,12.08,732
2010-10-05,3926,19.5,698
2010-10-12,4456,10.47,686
2010-10-19,5418,7,620
2010-10-26,4145,6.53,712
2010-11-02,4600,8.02,598
2010-11-09,4372,10.65,489
2010-11-16,4649,7.21,480
2010-11-23,4582,6.68,512
2010-11-30,4920,5.17,566
2010-12-07,4588,4.32,476
2010-12-14,4706,5.96,690
2010-12-21,4944,3.23,423
2011-01-04,4346,9.18,402
2011-01-11,3437,28.48,297
2011-01-18,3230,52,236
2011-01-25,4848,9.07,250
2011-02-01,4854,5.3,295
2011-02-08,4958,7.16,387
2011-02-14,5084,10.26,365
2011-02-22,4210,32.53,250
2011-03-01,4156,20.12,214
2011-03-08,5087,7.95,333
2011-03-15,4843,5.56,462
2011-03-22,5069,7.02,428
2011-03-29,4602,7.03,389
2011-04-05,5076,7.72,540
2011-04-11,4861,8.17,519
2011-04-19,5035,6.09,520
2011-04-26,4650,6.53,531
2011-05-03,5027,7.45,688
2011-05-09,4429,8.64,848
2011-05-16,4446,9.81,978
2011-05-24,4661,13.12,872
2011-05-31,3386,10.26,705
2011-06-07,4560,9.43,1008
2011-06-14,4166,11.32,704
2011-06-21,4171,11.37,632
2011-06-28,4161,14.17,678
2011-07-05,4535,14.04,782
2011-07-12,4412,12.89,852
2011-07-19,3919,10.47,768
2011-07-26,4113,10.88,708
2011-08-02,4561,11.91,780
2011-08-09,4165,14.62,1228
2011-08-16,4547,14.76,873
2011-08-23,4469,14.75,748
2011-08-30,4256,12.57,765
2011-09-06,4558,14.98,846
2011-09-13,4082,14.37,900
2011-09-20,4630,12.1,873
2011-09-26,4330,12.2,920
2011-10-04,4630,14.23,1560
2011-10-11,4347,13.29,1692
2011-10-18,4549,10.89,1400
2011-10-25,4427,7.87,1095
2011-11-01,3627,10.14,1080
2011-11-08,3877,9.16,1108
2011-11-15,4395,9.11,1208
2011-11-22,4776,6.97,848
2011-11-29,4064,7.75,1024
2011-12-06,4531,6.18,1132
2011-12-13,3693,9.53,836
2011-12-19,3362,6.69,676
2012-01-03,3945,7.39,772
2012-01-10,4334,7,544
2012-01-16,4441,4.84,746
2012-01-24,4210,16.23,836
2012-01-31,4324,7.92,441
2012-02-07,4323,5.34,474
2012-02-27,4888,7.6,484
2012-03-06,3690,34.06,383
2012-03-13,4671,7.32,419
2012-03-20,4612,5.66,504
2012-03-27,4752,7.17,508
2012-04-03,4637,7.43,588
2012-04-10,4364,6.24,586
2012-04-17,4295,6.28,608
2012-04-24,4637,7.63,422
2012-05-01,3618,34.55,308
2012-05-08,4892,23.67,286
2012-05-14,5170,10.04,254
2012-05-22,5186,8.19,381
2012-05-29,4665,10.34,520
2012-06-06,3637,13.35,385
2012-06-12,3205,34.33,276
2012-06-19,4908,7.41,221
2012-06-25,4136,18.81,301
2012-07-03,5635,8.82,445
2012-07-10,5079,14.35,344
2012-07-16,4963,11.23,252
2012-07-24,5677,9.09,353
2012-07-31,5380,9.96,488
2012-08-07,4482,12.63,414
2012-08-14,5152,10.91,465
2012-08-21,4655,14.6,478
2012-08-28,4911,13.74,545
2012-09-04,4579,15.07,485
2012-09-11,4844,17.37,550
2012-09-18,4207,16.8,540
2012-09-24,4161,25.35,505
2012-10-01,4172,17.43,433
2012-10-08,3695,33.14,308
2012-10-16,4906,12.63,351
2012-10-23,4919,16.37,238
2012-10-29,4930,7.55,288
2012-11-06,3927,21.75,217
2012-11-12,4918,11.13,224
2012-11-19,5717,7.62,260
2012-11-26,3426,38.92,185
2012-12-04,5133,19.64,202
2012-12-11,5062,10.59,228
2012-12-17,4189,24.9,202
2013-01-07,4769,12.48,219
2013-01-14,5414,11.22,214
2013-01-21,5311,9.76,204
2013-01-28,3389,38.93,157
2013-02-04,5195,11.44,168
2013-02-11,3097,101.62,146
2013-02-18,5429,11.22,138
2013-02-25,5047,9.9,207
