Sampling date,Dissolved_calcium,Dissolved_magnesium,Dissolved_boron
2009-06-08,105.5,5.1,94
2009-06-15,124.5,5.7,110
2009-06-22,117.7,5.2,105
2009-06-29,112.8,4.8,101
2009-07-06,115.9,4.9,105
2009-07-13,104.3,4.3,98
2009-07-20,86.8,3.9,93
2009-07-27,104.9,4.7,104
2009-08-04,103.9,4.7,103
2009-08-10,103.6,4.9,112
2009-08-17,115.1,4.9,114
2009-08-24,113.1,4.7,107
2009-09-02,100.3,4.3,101
2009-09-07,104.9,4.5,107
2009-09-15,118.5,5,114
2009-09-22,99.2,4.1,94
2009-09-29,114,4.7,109
2009-10-05,110.2,4.4,105
2009-10-13,101.4,4,93
2009-10-20,131.1,5.7,114
2009-10-27,117.9,5.3,117
2009-11-03,107.1,5.1,108
2009-11-10,113.4,5.6,97
2009-11-17,126.1,6.7,98
2009-11-24,111.8,6.4,88
2009-12-01,108.7,6.3,82
2009-12-08,100.5,5.7,76
2009-12-16,137.3,6.8,88
2010-01-12,140,6.3,76
2010-01-19,91.9,4.7,61
2010-01-26,110.7,5.7,68
2010-02-02,125.3,6.1,73
2010-02-09,128.7,6.2,73
2010-02-16,135.5,6,68
2010-02-23,105.5,5.6,65
2010-03-02,81.5,4.3,59
2010-03-09,125.9,5.5,71
2010-03-16,136.6,5.3,69
2010-03-23,135.8,6.1,81
2010-04-06,119.8,5.9,75
2010-04-13,132.3,5.8,79
2010-04-21,124.5,5.3,78
2010-04-27,122,5.3,80
2010-05-04,101.9,4.8,78
2010-05-11,124.9,5.3,82
2010-05-18,116.4,4.7,75
2010-05-26,116.3,4.8,83
2010-06-02,100,4.9,82
2010-06-08,112,4.8,84
2010-06-15,103.8,4.4,78
2010-06-22,115,4.8,88
2010-06-29,125.4,5.4,95
2010-07-06,113.8,4.8,88
2010-07-13,108.9,4.3,83
2010-07-19,113.4,4.5,88
2010-07-27,109.1,4.7,88
2010-08-03,110,4.8,87
2010-08-10,107.2,4.6,87
2010-08-17,98.5,4.2,85
2010-08-31,100.3,4.8,105
2010-09-06,116,5.3,102
2010-09-14,109.9,5,93
2010-09-21,104.3,4.7,88
2010-09-28,102.8,4.3,87
2010-10-05,108.6,4.9,98
