Sampling date,Water temperature,Total_dissolved_phosphorus,Mean_daily_river_discharge
2009-06-08,14.1,668,3.18
2009-06-15,18.5,670,1.27
2009-06-22,17,914,0.67
2009-06-29,22,828,1.22
2009-07-06,20.4,924,0.73
2009-07-13,19,928,1
2009-07-20,17.7,682,1.61
2009-07-27,17.7,846,1.1
2009-08-04,18.1,749,0.93
2009-08-10,19.2,940,1.06
2009-08-17,19.4,896,0.69
2009-08-24,18.7,912,0.67
2009-09-02,16.8,664,0.94
2009-09-07,16,866,0.77
2009-09-15,17,1020,0.59
2009-09-22,18.3,960,0.63
2009-09-29,17.2,1156,0.51
2009-10-05,14.7,828,0.51
2009-10-13,12.3,1008,0.81
2009-10-20,11.5,1012,0.63
2009-10-27,15,828,0.95
2009-11-03,13.7,840,1.33
2009-11-10,10.4,954,0.96
2009-11-17,9.8,494,2.74
2009-11-24,9.7,524,5.69
2009-12-01,5.6,443,9.46
2009-12-08,7.3,359,12.54
2009-12-16,5.8,426,6.33
2010-01-12,2.2,494,4.06
2010-01-19,5.6,264,17.97
2010-01-26,4.1,259,14.16
2010-02-02,4.1,297,7.35
2010-02-09,4.7,296,6.24
2010-02-16,4.8,390,5.68
2010-02-23,4.1,262,11.59
2010-03-02,7.4,226,25.97
2010-03-09,5.2,312,5.17
2010-03-16,9.2,425,3.43
2010-03-23,8.8,427,3.71
2010-04-06,9,345,4.22
2010-04-13,11,547,2
2010-04-21,11.9,541,1.49
2010-04-27,15.2,728,1.51
2010-05-04,9.8,712,2.62
2010-05-11,11.2,866,1.32
2010-05-18,12.7,904,1.27
2010-05-26,18,1076,1.04
2010-06-02,15.6,836,1.03
2010-06-08,17.2,788,1.1
2010-06-15,17,782,0.96
2010-06-22,18.8,700,0.75
2010-06-29,20.4,830,0.6
2010-07-06,18.8,808,0.66
2010-07-13,19.3,812,0.58
2010-07-19,20.3,764,0.71
2010-07-27,20.2,626,0.57
2010-08-03,19.8,814,0.57
2010-08-10,18,826,0.76
2010-08-17,17.1,654,0.8
2010-08-31,14.4,554,1.76
2010-09-06,15.2,630,0.87
2010-09-14,15.4,652,0.88
2010-09-21,14.3,754,0.76
2010-09-28,12.3,789,0.92
2010-10-05,14.2,738,2.19
2010-10-12,12.8,694,0.95
2010-10-19,9.5,680,0.93
2010-10-26,7.1,780,1.05
2010-11-02,11,658,1.26
2010-11-09,8.4,522,2.79
2010-11-16,6,510,2.09
2010-11-23,6.7,520,1.38
2010-11-30,1,608,1.17
2010-12-07,2,518,1.36
2010-12-14,3.5,710,1.17
2010-12-21,0.2,448,1.31
2011-01-04,3.4,428,3.25
2011-01-11,4.7,336,9.65
2011-01-18,6.1,268,17.96
2011-01-25,5.7,266,6.11
2011-02-01,2.6,300,3.15
2011-02-08,7.1,407,2.37
2011-02-14,7.2,403,4.06
2011-02-22,6.1,286,7.04
2011-03-01,4.9,245,10.84
2011-03-08,5,373,3.51
2011-03-15,8.4,458,2.15
2011-03-22,9.3,480,1.8
2011-03-29,10.3,434,1.63
2011-04-05,10.5,599,1.51
2011-04-11,13.6,576,1.26
2011-04-19,12.9,570,1.14
2011-04-26,15.2,633,0.88
2011-05-03,13.1,744,0.85
2011-05-09,15.8,948,1.59
2011-05-16,13.6,1148,0.84
2011-05-24,14.2,972,0.81
2011-05-31,14.3,738,0.96
2011-06-07,15.9,1056,1.11
2011-06-14,15.5,738,1.59
2011-06-21,16,670,1.07
2011-06-28,19.2,716,1
2011-07-05,18.5,832,0.87
2011-07-12,17.8,984,0.84
2011-07-19,16,842,1.57
2011-07-26,17.1,800,0.88
2011-08-02,19.6,848,0.68
2011-08-09,16.5,1354,0.87
2011-08-16,16.8,940,0.73
2011-08-23,16.1,866,0.78
2011-08-30,15.1,854,0.73
2011-09-06,15.4,930,0.97
2011-09-13,15.6,992,0.59
2011-09-20,14.4,930,0.67
2011-09-26,15.2,1066,0.64
2011-10-04,16.3,1680,0.58
2011-10-11,14.9,1760,0.64
2011-10-18,10.8,1572,0.62
2011-10-25,11.5,1300,0.69
2011-11-01,13,1152,0.76
2011-11-08,11.2,1208,0.78
2011-11-15,10.7,1252,0.74
2011-11-22,9.4,1168,0.71
2011-11-29,8.7,1160,0.76
2011-12-06,5,1212,0.78
2011-12-13,5.8,896,1.81
2011-12-19,3.3,696,1.67
2012-01-03,8.1,850,1.5
2012-01-10,8.1,552,1.38
2012-01-16,2.4,780,0.99
2012-01-24,5.7,870,1.27
2012-01-31,4,506,1.5
2012-02-07,2,550,1.37
2012-02-27,8.6,522,1.1
2012-03-06,6.1,390,4.82
2012-03-13,9.2,464,1.36
2012-03-20,8.7,526,1.08
2012-03-27,10.2,556,0.96
2012-04-03,10,670,0.9
2012-04-10,9.9,614,1.44
2012-04-17,9.3,596,0.94
2012-04-24,9.9,496,2.11
2012-05-01,11.8,362,21.88
2012-05-08,10.5,328,7.59
2012-05-14,12.1,296,5.39
2012-05-22,13.6,482,1.99
2012-05-29,19.5,596,0.97
2012-06-06,13.7,468,4.01
2012-06-12,12.4,350,10.65
2012-06-19,16.5,260,8.85
2012-06-25,15.2,360,7.85
2012-07-03,16.1,501,1.99
2012-07-10,16.1,404,5.09
2012-07-16,16.1,337,9.56
2012-07-24,18,460,2.22
2012-07-31,16.2,551,1.39
2012-08-07,16.4,456,1.52
2012-08-14,18.2,517,0.87
2012-08-21,18.9,502,0.75
2012-08-28,16.8,634,0.75
2012-09-04,16.1,540,0.85
2012-09-11,15.7,581,0.67
2012-09-18,14.5,590,0.7
2012-09-24,12.3,584,2.3
2012-10-01,12.7,468,1.29
2012-10-08,11.1,368,9.38
2012-10-16,9.9,378,2.51
2012-10-23,12.2,244,7.78
2012-10-29,8.4,325,2.95
2012-11-06,4.6,261,16.47
2012-11-12,8.8,255,7.87
2012-11-19,7.6,291,3.6
2012-11-26,7.9,232,30.65
2012-12-04,5.7,230,9.61
2012-12-11,4.2,256,5.6
2012-12-17,5.1,242,12.59
2013-01-07,8.5,225,7.12
2013-01-14,4.2,239,5.52
2013-01-21,2.3,223,4.86
2013-01-28,3.8,183,23.58
2013-02-04,6.2,184,10.12
2013-02-11,3.1,181,16.89
2013-02-18,5.2,155,10.45
2013-02-25,3.5,220,4.1
